X,Y,OBJECTID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
-63.4999999999999,-64.8166666669999,43,63100,63060,PORT LOCKROY,AQ,-64.816667,-63.5,64,49,S,63,30,W,200,29106,V,CN,P, , ,Y, ,N,C,E, , ,3, ,Y, , , , , , , , , , , , , , , ,Y, , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
-62.9999999999999,-64.3166666669999,44,63110,63060,MELCHIOR HARBOR,AQ,-64.316667,-63,64,19,S,63,0,W,200,29106,V,CN,P, ,Y,Y, ,N,N,A, , ,0, ,Y,Y, , , , , , , , , , , , , , ,Y, , , , ,Y, , , , , , , , , , , , , , , , , , , , ,Y, , , , ,N, , 
-62.933333333,-64.3166666669999,45,63120,63060,ANDERSEN HARBOR,AQ,-64.316667,-62.933333,64,19,S,62,56,W,200,29106,V,CN,P, ,Y,Y, ,N,A,C, , ,0, , ,Y, , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , 
150.716666667,59.5666666670001,46,62550,62530,BUKHTA NAGAYEVA (MAGADAN),RU,59.566667,150.716667,59,34,N,150,43,E,155,96441,S,CN,E, , ,Y,Y, ,E,E,J,L,3, , , , , ,Y,Y,Y, ,Y, , , ,Y, ,Y, ,Y, ,Y,Y,Y, , , , ,Y, , , , ,Y,Y, , , ,Y, , , , , , ,Y,Y,Y, , ,B, ,M
-90.7,28.45,47,8822,8650,SOUTHWEST PASS,US,28.45,-90.7,28,27,N,90,42,W,CP05, ,S,RN,N,N,N,N,Y, , , , ,J,0,M, , , , , , ,Y,Y, , , , , , ,Y, , , , , ,Y, , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , 
-90.2,38.716666667,48,8890,8650,TRI-CITY PORT,US,38.716667,-90.2,38,43,N,90,12,W,CP05, ,L,RN,E,N,N, ,Y,Y,O, , , ,0,L, , , ,Y,Y, ,Y, , ,Y,Y, , , ,Y,Y,Y,Y,Y,Y,Y,Y, , , ,Y,Y,Y,Y,Y,Y,Y,Y, , , ,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,B,L,M
130.966666667,33.95,49,62140,61100,MOJI KO,JP,33.95,130.966667,33,57,N,130,58,E,159,97274,M,RN,G,Y,Y,N,Y,Y,J,K,K,H,3,M,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y, ,Y, , ,Y,Y,Y,Y,Y,Y, , , ,Y,Y, ,Y, ,Y,Y,Y,Y,Y, ,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,C,M,S
131.016666667,33.783333333,50,62145,61100,KANDA,JP,33.783333,131.016667,33,47,N,131,1,E,159,97274,V,CN,G, , , ,Y,Y,J,M,H, ,2,L, , , ,N,Y,N,Y, ,Y, ,Y,Y, ,Y,Y, ,Y,Y,Y,Y,Y,Y, , , ,Y, , , , , ,Y, , , , ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A, ,S
131.666666667,33.2500000000001,51,62160,61100,OITA KO,JP,33.25,131.666667,33,15,N,131,40,E,159,97283,V,CB,F,N,N,N,Y, ,A,A,G,D,2,L,Y, ,Y,N,Y,N,Y,Y,Y, ,Y,Y, ,Y,Y, ,Y,Y,Y,Y,Y, , , , ,Y, , ,Y, ,Y,Y, ,Y,Y,Y,Y,Y, , , ,Y,Y,Y,Y, , ,C, ,S
131.866666667,33.2500000000001,52,62165,61100,SAGANOSEKI KO,JP,33.25,131.866667,33,15,N,131,52,E,159,97278,S,CB,F, , , ,Y, ,K,E,K, ,2,M, , ,Y,N,Y,N,Y, , , ,Y,Y, ,Y, , ,Y,Y,Y, ,Y,Y, , , ,Y, , , , , , , , , ,Y,Y, , , , , ,Y,Y, , , ,C, , 
